# tau rho ord score
9.000 16.000 0.850 244.50863032359874
4.000 192.000 0.850 328.1535262434818
4.000 196.000 0.850 328.73318932855466
4.000 200.000 0.850 329.19824815043364
4.000 204.000 0.850 329.54585857664813
4.000 208.000 0.850 329.7744627152939
4.000 212.000 0.850 329.8827806983762
4.000 216.000 0.850 329.8700789727568
4.000 220.000 0.850 329.73641953914546
4.000 224.000 0.850 329.56712976972966
4.000 228.000 0.850 329.3657448951344
4.000 232.000 0.850 329.0329793836468
4.000 236.000 0.850 328.570168068031
4.000 240.000 0.850 327.9792566629834
4.000 244.000 0.850 327.2627982998649
4.000 248.000 0.850 326.42394742638703
4.000 252.000 0.850 325.46645097760876
4.000 256.000 0.850 324.3946367339996
4.000 260.000 0.850 323.21364045327374
4.000 264.000 0.850 322.12453767781227
4.000 268.000 0.850 321.0687668456087
4.000 272.000 0.850 319.92614287737655
4.000 276.000 0.850 318.702016080665
4.000 280.000 0.850 317.40199893908624
4.000 284.000 0.850 316.03258647223237
4.000 288.000 0.850 314.600188889709
4.000 292.000 0.850 313.11170997860444
4.000 296.000 0.850 311.57436766808746
4.000 300.000 0.850 309.9954939266143
4.000 304.000 0.850 308.38314297725145
4.000 308.000 0.850 306.7451124496552
4.000 312.000 0.850 305.08951104008463
4.000 316.000 0.850 303.42456925263684
4.000 320.000 0.850 301.9305672523947
4.000 324.000 0.850 300.4813797653282
4.000 328.000 0.850 299.0592860570878
4.000 332.000 0.850 297.6715077928027
4.000 336.000 0.850 296.32509780228844
4.000 340.000 0.850 295.02690003842804
4.000 344.000 0.850 293.78351069603684
4.000 348.000 0.850 292.60124078844234
4.000 352.000 0.850 291.48608046702464
4.000 356.000 0.850 290.44366535359546
4.000 360.000 0.850 289.47924513692726
5.000 0.000 0.850 282.9059658517633
5.000 4.000 0.850 281.9773877417971
5.000 8.000 0.850 281.1117587592552
5.000 12.000 0.850 280.31355602781434
5.000 16.000 0.850 279.5869048811647
5.000 20.000 0.850 278.9357621426857
5.000 24.000 0.850 278.363083889596
5.000 28.000 0.850 277.87198627569023
5.000 32.000 0.850 277.464965003522
5.000 36.000 0.850 277.1678064035981
5.000 40.000 0.850 277.1086930084695
5.000 44.000 0.850 277.15712341787884
5.000 48.000 0.850 277.3126437780953
5.000 52.000 0.850 277.5742529563416
5.000 56.000 0.850 277.9641525599107
5.000 60.000 0.850 278.60708432918227
5.000 64.000 0.850 279.3684637401062
5.000 68.000 0.850 280.24431529608063
5.000 72.000 0.850 281.2299368022951
5.000 76.000 0.850 282.3201155887741
