# tau rho ord score
1.000 88.000 0.900 356.12043761074125
1.000 92.000 0.900 356.24902600383115
1.000 96.000 0.900 356.38760504600737
1.000 100.000 0.900 356.5355556049844
1.000 104.000 0.900 356.6920192150456
1.000 108.000 0.900 356.8562942592203
1.000 112.000 0.900 357.0275736883619
1.000 116.000 0.900 357.205016690264
1.000 120.000 0.900 357.38781592111195
1.000 124.000 0.900 357.5749449088087
1.000 128.000 0.900 357.7655550192385
1.000 132.000 0.900 357.978737831359
1.000 136.000 0.900 358.24283356051603
1.000 140.000 0.900 358.5077339837041
1.000 144.000 0.900 358.77215372741836
1.000 148.000 0.900 359.034811329858
1.000 152.000 0.900 359.2944353530468
1.000 156.000 0.900 359.5497704181138
1.000 160.000 0.900 359.7996461483993
1.000 164.000 0.900 360.04272602146995
1.000 168.000 0.900 360.2779055202726
1.000 172.000 0.900 360.5040514438433
1.000 176.000 0.900 360.7200747901768
1.000 180.000 0.900 360.92499882494235
1.000 184.000 0.900 361.11770694874497
1.000 188.000 0.900 361.2973397587669
1.000 192.000 0.900 361.4630331708653
1.000 196.000 0.900 361.61399002041486
1.000 200.000 0.900 361.74954676126094
1.000 204.000 0.900 361.86891988114445
1.000 208.000 0.900 361.9716014350662
1.000 212.000 0.900 362.05709556827566
1.000 216.000 0.900 362.1249884527598
1.000 220.000 0.900 362.17501326218667
1.000 224.000 0.900 362.20679480926776
1.000 228.000 0.900 362.22024325266324
1.000 232.000 0.900 362.2152887508394
1.000 236.000 0.900 362.1919494926001
1.000 240.000 0.900 362.1503317242466
1.000 244.000 0.900 362.0906293770995
1.000 248.000 0.900 362.0131232943716
1.000 252.000 0.900 361.91818005781766
1.000 256.000 0.900 361.8062504160857
1.000 260.000 0.900 361.6779303292351
1.000 264.000 0.900 361.5337016609466
1.000 268.000 0.900 361.37432193973154
1.000 272.000 0.900 361.20055508131463
1.000 276.000 0.900 361.0132355172278
1.000 280.000 0.900 360.8133273764541
1.000 284.000 0.900 360.60166336670875
1.000 288.000 0.900 360.3793327858322
1.000 292.000 0.900 360.1474105647763
1.000 296.000 0.900 359.9070197966369
1.000 300.000 0.900 359.6593894080042
1.000 304.000 0.900 359.4055916285993
1.000 308.000 0.900 359.1469286989182
1.000 312.000 0.900 358.8846607263778
1.000 316.000 0.900 358.62006715310906
1.000 320.000 0.900 358.3543973948914
1.000 324.000 0.900 358.0890323610724
1.000 328.000 0.900 357.86446871315815
1.000 332.000 0.900 357.6725128697698
1.000 336.000 0.900 357.4835557339658
1.000 340.000 0.900 357.29852066666444
1.000 344.000 0.900 357.11831279703233
1.000 348.000 0.900 356.9438145411706
1.000 352.000 0.900 356.77588121580794
1.000 356.000 0.900 356.6153367700751
1.000 360.000 0.900 356.46296965812076
2.000 0.000 0.900 353.1846629958919
2.000 4.000 0.900 352.89699367619505
2.000 8.000 0.900 352.6285607289466
2.000 12.000 0.900 352.38070013453085
2.000 16.000 0.900 352.1546475522832
2.000 20.000 0.900 351.9516184692098
2.000 24.000 0.900 351.77246437588326
2.000 28.000 0.900 351.6181598897641
2.000 32.000 0.900 351.4894791940153
2.000 36.000 0.900 351.38706903011945
2.000 40.000 0.900 351.31144516091507
2.000 44.000 0.900 351.26298953002873
2.000 48.000 0.900 351.2419481379254
2.000 52.000 0.900 351.2484296500447
2.000 56.000 0.900 351.282404747569
2.000 60.000 0.900 351.3542250136537
2.000 64.000 0.900 351.46281503461273
2.000 68.000 0.900 351.5854339153369
2.000 72.000 0.900 351.7214702115796
2.000 76.000 0.900 351.87024547425983
2.000 80.000 0.900 352.04502757762214
2.000 84.000 0.900 352.2592503829601
2.000 88.000 0.900 352.4959303148415
2.000 92.000 0.900 352.7538882278151
2.000 96.000 0.900 353.03184005992074
2.000 100.000 0.900 353.3285303329528
2.000 104.000 0.900 353.64222278509925
2.000 108.000 0.900 353.9714971748238
2.000 112.000 0.900 354.31472239452347
2.000 116.000 0.900 354.6702008132191
2.000 120.000 0.900 355.0363037559822
2.000 124.000 0.900 355.41096386725576
2.000 128.000 0.900 355.79247339020213
2.000 132.000 0.900 356.2191183681594
2.000 136.000 0.900 356.74651091313336
2.000 140.000 0.900 357.27528293440673
2.000 144.000 0.900 357.80287899383507
2.000 148.000 0.900 358.3267556601737
2.000 152.000 0.900 358.8623536785203
2.000 156.000 0.900 359.44955083224477
2.000 160.000 0.900 360.01776552204933
2.000 164.000 0.900 360.5640163512937
2.000 168.000 0.900 361.0858257580795
2.000 172.000 0.900 361.5986571092843
2.000 176.000 0.900 362.1425030794586
2.000 180.000 0.900 362.64698859274
2.000 184.000 0.900 363.10942949298686
2.000 188.000 0.900 363.527734985306
2.000 192.000 0.900 363.89988296331853
2.000 196.000 0.900 364.22406542488704
2.000 200.000 0.900 364.4988238949761
2.000 204.000 0.900 364.7225406146367
2.000 208.000 0.900 364.8942345406936
2.000 212.000 0.900 365.01303230299953
2.000 216.000 0.900 365.07830904934485
2.000 220.000 0.900 365.08981909900035
2.000 224.000 0.900 365.04718216776115
2.000 228.000 0.900 364.9792040532362
2.000 232.000 0.900 364.92065479218417
2.000 236.000 0.900 364.8165743978735
2.000 240.000 0.900 364.6674101803562
2.000 244.000 0.900 364.4738250540187
2.000 248.000 0.900 364.2652253876583
2.000 252.000 0.900 364.07707056344714
2.000 256.000 0.900 363.85503940134174
2.000 260.000 0.900 363.6002909353364
2.000 264.000 0.900 363.31375302123354
2.000 268.000 0.900 362.9969065965798
2.000 272.000 0.900 362.651245107906
2.000 276.000 0.900 362.2784040824933
2.000 280.000 0.900 361.8802808155549
2.000 284.000 0.900 361.45850998823806
2.000 288.000 0.900 361.0152443217512
2.000 292.000 0.900 360.55261047951694
2.000 296.000 0.900 360.07283521666545
2.000 300.000 0.900 359.5783617709924
2.000 304.000 0.900 359.0713223349417
2.000 308.000 0.900 358.55431573871067
2.000 312.000 0.900 358.02986058150134
2.000 316.000 0.900 357.50051883536554
2.000 320.000 0.900 356.9687965120224
2.000 324.000 0.900 356.4374685506946
2.000 328.000 0.900 355.9908883856271
2.000 332.000 0.900 355.6069526914748
2.000 336.000 0.900 355.2288832526644
2.000 340.000 0.900 354.85853316672603
2.000 344.000 0.900 354.4977214255972
2.000 348.000 0.900 354.148223767007
2.000 352.000 0.900 353.8117636740305
2.000 356.000 0.900 353.4900035734553
2.000 360.000 0.900 353.18453628373635
3.000 0.000 0.900 349.10451855383883
3.000 4.000 0.900 348.79283932842634
3.000 8.000 0.900 348.492772225396
3.000 12.000 0.900 348.20582296288967
3.000 16.000 0.900 347.9334360670275
3.000 20.000 0.900 347.6771779537766
3.000 24.000 0.900 347.4512951764509
3.000 28.000 0.900 347.41317623586593
3.000 32.000 0.900 347.3803657375155
3.000 36.000 0.900 347.3530425455376
3.000 40.000 0.900 347.3313570498313
3.000 44.000 0.900 347.31543009710305
3.000 48.000 0.900 347.305352106277
3.000 52.000 0.900 347.301182378345
3.000 56.000 0.900 347.3029486088707
3.000 60.000 0.900 347.3108376353032
3.000 64.000 0.900 347.42413899688796
3.000 68.000 0.900 347.6086045054398
3.000 72.000 0.900 347.8132599746186
3.000 76.000 0.900 348.03707303362495
3.000 80.000 0.900 348.27910600948513
3.000 84.000 0.900 348.5377434004942
3.000 88.000 0.900 348.8118878527398
3.000 92.000 0.900 349.10016111156347
3.000 96.000 0.900 349.4011162798694
3.000 100.000 0.900 349.7134367202363
3.000 104.000 0.900 350.03516543585556
3.000 108.000 0.900 350.364902692687
3.000 112.000 0.900 350.70100834703067
3.000 116.000 0.900 351.1792020880834
3.000 120.000 0.900 351.7288899039767
3.000 124.000 0.900 352.2912548045781
3.000 128.000 0.900 352.95769605737524
3.000 132.000 0.900 353.8588800425482
3.000 136.000 0.900 354.8146706158143
3.000 140.000 0.900 355.763676650201
3.000 144.000 0.900 356.7013720321456
3.000 148.000 0.900 357.71726832714575
3.000 152.000 0.900 358.7930084547203
3.000 156.000 0.900 359.8365551045749
3.000 160.000 0.900 360.84318505971436
3.000 164.000 0.900 361.80776046003984
3.000 168.000 0.900 362.7259379964765
3.000 172.000 0.900 363.59338191580025
3.000 176.000 0.900 364.4059871825398
3.000 180.000 0.900 365.16008814999805
3.000 184.000 0.900 365.8516965897319
3.000 188.000 0.900 366.4777068541587
3.000 192.000 0.900 367.03510464558417
3.000 196.000 0.900 367.52118572374326
3.000 200.000 0.900 367.9337598870063
3.000 204.000 0.900 368.27038405788306
3.000 208.000 0.900 368.5295622279068
3.000 212.000 0.900 368.7099487156571
3.000 216.000 0.900 368.8105610514954
3.000 220.000 0.900 368.83097780764643
3.000 224.000 0.900 368.7705651906863
3.000 228.000 0.900 368.6296701418164
3.000 232.000 0.900 368.4088163936835
3.000 236.000 0.900 368.1089097978182
3.000 240.000 0.900 367.73123722205787
3.000 244.000 0.900 367.2774636717176
3.000 248.000 0.900 366.7496275825477
3.000 252.000 0.900 366.1617165987308
3.000 256.000 0.900 365.68452934890763
3.000 260.000 0.900 365.1479651452281
3.000 264.000 0.900 364.5540968967762
3.000 268.000 0.900 363.9058855505809
3.000 272.000 0.900 363.2179454753918
3.000 276.000 0.900 362.6616071131621
3.000 280.000 0.900 362.0672032211727
3.000 284.000 0.900 361.4371387426711
3.000 288.000 0.900 360.77460265218747
3.000 292.000 0.900 360.08274886580307
3.000 296.000 0.900 359.36488702502453
3.000 300.000 0.900 358.6246585840653
3.000 304.000 0.900 357.86524213973655
3.000 308.000 0.900 357.09052588150035
3.000 312.000 0.900 356.3042837514846
3.000 316.000 0.900 355.51036177694004
3.000 320.000 0.900 354.71252821476713
3.000 324.000 0.900 353.91496345623966
3.000 328.000 0.900 353.162103149965
3.000 332.000 0.900 352.58639748770906
3.000 336.000 0.900 352.01929097517854
3.000 340.000 0.900 351.4635716895049
3.000 344.000 0.900 350.92198010563646
3.000 348.000 0.900 350.3971951001218
3.000 352.000 0.900 349.8918201143048
3.000 356.000 0.900 349.4260464679607
3.000 360.000 0.900 349.1043275279263
4.000 0.000 0.900 344.7650756786352
4.000 4.000 0.900 344.3488649854854
4.000 8.000 0.900 343.94800625846204
4.000 12.000 0.900 343.5645303118794
4.000 16.000 0.900 343.30520932464805
4.000 20.000 0.900 343.240783527014
4.000 24.000 0.900 343.1825853772576
4.000 28.000 0.900 343.13121040452
4.000 32.000 0.900 343.08694511970066
4.000 36.000 0.900 343.0500389609724
4.000 40.000 0.900 343.02070242093623
4.000 44.000 0.900 342.9991054237225
4.000 48.000 0.900 342.9853759715756
4.000 52.000 0.900 342.9795990777468
4.000 56.000 0.900 342.98181599952125
4.000 60.000 0.900 342.99227965588716
4.000 64.000 0.900 343.0104114852076
4.000 68.000 0.900 343.03639415506524
4.000 72.000 0.900 343.0700926321283
4.000 76.000 0.900 343.1677702959595
4.000 80.000 0.900 343.49126174551293
4.000 84.000 0.900 343.8369039875038
4.000 88.000 0.900 344.20321248167517
4.000 92.000 0.900 344.58832682103406
4.000 96.000 0.900 344.9902953179082
4.000 100.000 0.900 345.4073418556628
4.000 104.000 0.900 345.83683421855085
4.000 108.000 0.900 346.2768882250844
4.000 112.000 0.900 346.7253000895087
4.000 116.000 0.900 347.29948597957554
4.000 120.000 0.900 348.01219588890024
4.000 124.000 0.900 348.8403585756637
4.000 128.000 0.900 349.91360903486475
4.000 132.000 0.900 351.18676495516866
4.000 136.000 0.900 352.5763000909709
4.000 140.000 0.900 354.09093809094895
4.000 144.000 0.900 355.5832690133241
4.000 148.000 0.900 357.0463292160379
4.000 152.000 0.900 358.4733019523581
4.000 156.000 0.900 359.857544529222
4.000 160.000 0.900 361.19287052569456
4.000 164.000 0.900 362.4725323084741
4.000 168.000 0.900 363.6908382428156
4.000 172.000 0.900 364.84209709542745
4.000 176.000 0.900 365.9209150574035
4.000 180.000 0.900 366.9224737142391
4.000 184.000 0.900 367.8415082312226
4.000 188.000 0.900 368.673920128227
4.000 192.000 0.900 369.4157171078193
4.000 196.000 0.900 370.0633053250072
4.000 200.000 0.900 370.6137623802516
4.000 204.000 0.900 371.06381025447854
4.000 208.000 0.900 371.4114225081059
4.000 212.000 0.900 371.65475815529425
4.000 216.000 0.900 371.79244755016214
4.000 220.000 0.900 371.8238585179515
4.000 224.000 0.900 371.7480619059567
4.000 228.000 0.900 371.56543083877085
4.000 232.000 0.900 371.276566059649
4.000 236.000 0.900 370.8825726748506
4.000 240.000 0.900 370.38506065099034
4.000 244.000 0.900 369.78614299489004
4.000 248.000 0.900 369.0884315075778
4.000 252.000 0.900 368.2950300153981
4.000 256.000 0.900 367.40952499530533
4.000 260.000 0.900 366.4362294020741
4.000 264.000 0.900 365.42745798541085
4.000 268.000 0.900 364.56824548829576
4.000 272.000 0.900 363.64030422009057
4.000 276.000 0.900 362.6479551513226
4.000 280.000 0.900 361.5961167444128
4.000 284.000 0.900 360.537575666706
4.000 288.000 0.900 359.6577009521212
4.000 292.000 0.900 358.7383981584485
4.000 296.000 0.900 357.78403771862565
4.000 300.000 0.900 356.7994417487057
4.000 304.000 0.900 355.7888204166696
4.000 308.000 0.900 354.75734246997536
4.000 312.000 0.900 353.7100325154276
4.000 316.000 0.900 352.6520205963807
4.000 320.000 0.900 351.58834132636093
4.000 324.000 0.900 350.52459025859713
4.000 328.000 0.900 349.46590116274785
4.000 332.000 0.900 348.61452721636437
4.000 336.000 0.900 347.85868916423584
4.000 340.000 0.900 347.117772333975
4.000 344.000 0.900 346.5403511319214
4.000 348.000 0.900 346.0842484429557
4.000 352.000 0.900 345.6348082730407
4.000 356.000 0.900 345.1942650259634
4.000 360.000 0.900 344.7648198047359
5.000 0.000 0.900 339.39805137123705
5.000 4.000 0.900 338.87720200215034
5.000 8.000 0.900 338.3753713486502
5.000 12.000 0.900 338.0458737678744
5.000 16.000 0.900 337.95665582840155
5.000 20.000 0.900 337.8754362833118
5.000 24.000 0.900 337.8020065154564
5.000 28.000 0.900 337.73712729612976
5.000 32.000 0.900 337.68117125052606
5.000 36.000 0.900 337.6344637294043
