13.2 37.4 80.658 4.620
13.3 27.4 82.915 4.750
13.4 17.4 85.425 4.827
13.5 7.4 88.066 4.849
13.6 357.4 90.716 4.815
13.7 347.4 93.250 4.726
13.8 337.4 95.564 4.586
13.9 327.4 97.569 4.401
14.0 317.4 99.205 4.177
14.1 307.4 100.434 3.924
14.2 297.4 101.247 3.651
14.3 287.4 101.658 3.367
14.4 277.4 101.700 3.082
14.5 267.4 101.414 2.805
14.6 257.4 100.850 2.544
14.7 247.4 100.056 2.305
14.8 237.4 99.071 2.096
14.9 227.4 97.928 1.920
15.0 217.4 96.648 1.780
15.1 207.4 95.241 1.680
15.2 197.4 93.711 1.621
15.3 187.4 92.062 1.605
15.4 177.4 90.298 1.630
15.5 167.4 88.433 1.698
15.6 157.4 86.494 1.806
15.7 147.4 84.523 1.954
15.8 137.4 82.577 2.137
15.9 127.4 80.730 2.353
16.0 117.4 79.066 2.597
16.1 107.4 77.675 2.862
16.2 97.4 76.641 3.142
16.3 87.4 76.043 3.427
16.4 77.4 75.937 3.709
16.5 67.4 76.357 3.979
16.6 57.4 77.307 4.227
16.7 47.4 78.760 4.443
16.8 37.4 80.658 4.620
16.9 27.4 82.915 4.750
17.0 17.4 85.425 4.827
17.1 7.4 88.066 4.849
17.2 357.4 90.716 4.815
17.3 347.4 93.250 4.726
17.4 337.4 95.564 4.586
17.5 327.4 97.569 4.401
17.6 317.4 99.205 4.177
17.7 307.4 100.434 3.924
17.8 297.4 101.247 3.651
17.9 287.4 101.658 3.367
18.0 277.4 101.700 3.082
18.1 267.4 101.414 2.805
18.2 257.4 100.850 2.544
18.3 247.4 100.056 2.305
18.4 237.4 99.071 2.096
18.5 227.4 97.928 1.920
18.6 217.4 96.648 1.780
18.7 207.4 95.241 1.680
18.8 197.4 93.711 1.621
18.9 187.4 92.062 1.605
19.0 177.4 90.298 1.630
19.1 167.4 88.433 1.698
19.2 157.4 86.494 1.806
19.3 147.4 84.523 1.954
19.4 137.4 82.577 2.137
19.5 127.4 80.730 2.353
19.6 117.4 79.066 2.597
19.7 107.4 77.675 2.862
19.8 97.4 76.641 3.142
19.9 87.4 76.043 3.427
20.0 77.4 75.937 3.709
20.1 67.4 76.357 3.979
20.2 57.4 77.307 4.227
20.3 47.4 78.760 4.443
20.4 37.4 80.658 4.620
20.5 27.4 82.915 4.750
20.6 17.4 85.425 4.827
20.7 7.4 88.066 4.849
20.8 357.4 90.716 4.815
20.9 347.4 93.250 4.726
21.0 337.4 95.564 4.586
21.1 327.4 97.569 4.401
21.2 317.4 99.205 4.177
21.3 307.4 100.434 3.924
21.4 297.4 101.247 3.651
21.5 287.4 101.658 3.367
21.6 277.4 101.700 3.082
21.7 267.4 101.414 2.805
21.8 257.4 100.850 2.544
21.9 247.4 100.056 2.305
22.0 237.4 99.071 2.096
22.1 227.4 97.928 1.920
22.2 217.4 96.648 1.780
22.3 207.4 95.241 1.680
22.4 197.4 93.711 1.621
22.5 187.4 92.062 1.605
22.6 177.4 90.298 1.630
22.7 167.4 88.433 1.698
22.8 157.4 86.494 1.806
22.9 147.4 84.523 1.954
23.0 137.4 82.577 2.137
23.1 127.4 80.730 2.353
23.2 117.4 79.066 2.597
23.3 107.4 77.675 2.862
23.4 97.4 76.641 3.142
23.5 87.4 76.043 3.427
23.6 77.4 75.937 3.709
23.7 67.4 76.357 3.979
23.8 57.4 77.307 4.227
23.9 47.4 78.760 4.443
24.0 37.4 80.658 4.620
24.1 27.4 82.915 4.750
24.2 17.4 85.425 4.827
24.3 7.4 88.066 4.849
24.4 357.4 90.716 4.815
24.5 347.4 93.250 4.726
24.6 337.4 95.564 4.586
24.7 327.4 97.569 4.401
24.8 317.4 99.205 4.177
24.9 307.4 100.434 3.924
25.0 297.4 101.247 3.651
25.1 287.4 101.658 3.367
25.2 277.4 101.700 3.082
25.3 267.4 101.414 2.805
25.4 257.4 100.850 2.544
25.5 247.4 100.056 2.305
25.6 237.4 99.071 2.096
25.7 227.4 97.928 1.920
25.8 217.4 96.648 1.780
25.9 207.4 95.241 1.680
26.0 197.4 93.711 1.621
26.1 187.4 92.062 1.605
26.2 177.4 90.298 1.630
26.3 167.4 88.433 1.698
26.4 157.4 86.494 1.806
26.5 147.4 84.523 1.954
26.6 137.4 82.577 2.137
26.7 127.4 80.730 2.353
26.8 117.4 79.066 2.597
26.9 107.4 77.675 2.862
27.0 97.4 76.641 3.142
27.1 87.4 76.043 3.427
27.2 77.4 75.937 3.709
27.3 67.4 76.357 3.979
27.4 57.4 77.307 4.227
27.5 47.4 78.760 4.443
27.6 37.4 80.658 4.620
27.7 27.4 82.915 4.750
27.8 17.4 85.425 4.827
27.9 7.4 88.066 4.849
28.0 357.4 90.716 4.815
28.1 347.4 93.250 4.726
28.2 337.4 95.564 4.586
28.3 327.4 97.569 4.401
28.4 317.4 99.205 4.177
28.5 307.4 100.434 3.924
28.6 297.4 101.247 3.651
28.7 287.4 101.658 3.367
28.8 277.4 101.700 3.082
28.9 267.4 101.414 2.805
29.0 257.4 100.850 2.544
29.1 247.4 100.056 2.305
29.2 237.4 99.071 2.096
29.3 227.4 97.928 1.920
29.4 217.4 96.648 1.780
29.5 207.4 95.241 1.680
29.6 197.4 93.711 1.621
29.7 187.4 92.062 1.605
29.8 177.4 90.298 1.630
29.9 167.4 88.433 1.698
30.0 157.4 86.494 1.806
30.1 147.4 84.523 1.954
30.2 137.4 82.577 2.137
30.3 127.4 80.730 2.353
30.4 117.4 79.066 2.597
30.5 107.4 77.675 2.862
30.6 97.4 76.641 3.142
30.7 87.4 76.043 3.427
30.8 77.4 75.937 3.709
30.9 67.4 76.357 3.979
31.0 57.4 77.307 4.227
31.1 47.4 78.760 4.443
31.2 37.4 80.658 4.620
31.3 27.4 82.915 4.750
31.4 17.4 85.425 4.827
31.5 7.4 88.066 4.849
31.6 357.4 90.716 4.815
31.7 347.4 93.250 4.726
31.8 337.4 95.564 4.586
31.9 327.4 97.569 4.401
32.0 317.4 99.205 4.177
32.1 307.4 100.434 3.924
32.2 297.4 101.247 3.651
32.3 287.4 101.658 3.367
32.4 277.4 101.700 3.082
32.5 267.4 101.414 2.805
32.6 257.4 100.850 2.544
32.7 247.4 100.056 2.305
32.8 237.4 99.071 2.096
32.9 227.4 97.928 1.920
33.0 217.4 96.648 1.780
33.1 207.4 95.241 1.680
33.2 197.4 93.711 1.621
33.3 187.4 92.062 1.605
33.4 177.4 90.298 1.630
33.5 167.4 88.433 1.698
33.6 157.4 86.494 1.806
33.7 147.4 84.523 1.954
33.8 137.4 82.577 2.137
