# tau rho ord score
20.400 37.000 0.960 167.14789724415215
20.400 37.000 0.980 189.331624270072
20.400 37.000 1.000 211.51535129599185
20.400 38.000 0.800 66.82655799609414
20.400 38.000 0.820 67.37475129458893
20.400 38.000 0.840 69.23762327738379
20.400 38.000 0.860 73.8635818103119
20.400 38.000 0.880 85.20247072014095
20.400 38.000 0.900 103.1154868260261
20.400 38.000 0.920 123.55607542215999
20.400 38.000 0.940 144.91704148418677
20.400 38.000 0.960 167.0997657710844
20.400 38.000 0.980 189.28249005798202
20.400 38.000 1.000 211.4652143448796
20.400 39.000 0.800 65.36890309317886
20.400 39.000 0.820 65.54414764616888
20.400 39.000 0.840 67.36237075949005
20.400 39.000 0.860 72.28228072175501
20.400 39.000 0.880 84.3967771255647
20.400 39.000 0.900 102.66609560732911
20.400 39.000 0.920 123.09669773193642
20.400 39.000 0.940 144.87262138073064
20.400 39.000 0.960 167.05440055904407
20.400 39.000 0.980 189.23617973735753
20.400 39.000 1.000 211.41795891567097
20.400 40.000 0.800 64.75921731053879
20.400 40.000 0.820 63.75272215863188
20.400 40.000 0.840 65.52725196737904
20.400 40.000 0.860 71.02232089260899
20.400 40.000 0.880 83.6083664155321
20.400 40.000 0.900 102.22132829733557
20.400 40.000 0.920 122.6500420489414
20.400 40.000 0.940 144.83093426739666
20.400 40.000 0.960 167.0118264858519
20.400 40.000 0.980 189.19271870430717
20.400 40.000 1.000 211.37361092276242
20.400 41.000 0.800 64.24498028164255
20.400 41.000 0.820 62.16712066849244
20.400 41.000 0.840 63.98041219958255
20.400 41.000 0.860 69.9920148666047
20.400 41.000 0.880 83.06038308025386
20.400 41.000 0.900 101.7813433077584
20.400 41.000 0.920 122.61193935387226
20.400 41.000 0.940 144.7920032528695
20.400 41.000 0.960 166.97206715186672
20.400 41.000 0.980 189.152131050864
20.400 41.000 1.000 211.3321949498612
20.400 42.000 0.800 63.76892608543242
20.400 42.000 0.820 60.711502062095335
20.400 42.000 0.840 62.53243293636682
20.400 42.000 0.860 69.07581044439496
20.400 42.000 0.880 82.65264341812266
20.400 42.000 0.900 101.34629767395457
20.400 42.000 0.920 122.57655549068474
20.400 42.000 0.940 144.75585017526475
20.400 42.000 0.960 166.935144859845
20.400 42.000 0.980 189.11443954442507
20.400 42.000 1.000 211.29373422900517
20.400 43.000 0.800 63.33121709452175
