# tau rho ord score
2.000 0.850 40.00073425389394
2.000 0.860 40.83666677188384
2.000 0.870 41.70138123109009
2.000 0.880 42.59312760165146
2.000 0.890 43.510246620682025
2.000 0.900 44.45117044703032
2.000 0.910 45.414421908570404
2.000 0.920 46.39861265028054
2.000 0.930 47.402440450505324
2.000 0.940 48.424685932432894
2.000 0.950 49.46420885981513
2.000 0.960 50.51994417141803
2.000 0.970 51.590897878147324
2.000 0.980 52.67614292039141
2.000 0.990 53.77481506072458
2.000 1.000 54.886108868430526
3.000 0.000 98.72196074078293
3.000 0.010 97.41603481336169
3.000 0.020 96.1120648568981
3.000 0.030 94.81013156981231
3.000 0.040 93.51032001561953
3.000 0.050 92.212719911979
3.000 0.060 90.91742594209884
3.000 0.070 89.62453809044021
3.000 0.080 88.33416200484757
3.000 0.090 87.04640938743353
3.000 0.100 85.76139841676563
3.000 0.110 84.47925420414448
3.000 0.120 83.20010928702649
3.000 0.130 81.92410416293359
3.000 0.140 80.6513878675073
3.000 0.150 79.3821186007093
3.000 0.160 78.11646440554412
3.000 0.170 76.85460390408713
3.000 0.180 75.59672709603964
3.000 0.190 74.34303622550865
3.000 0.200 73.09374672221671
3.000 0.210 71.8490882238924
3.000 0.220 70.60930568716769
3.000 0.230 69.37466059491538
3.000 0.240 68.1454322685899
3.000 0.250 66.92191929478248
3.000 0.260 65.70444107585153
3.000 0.270 64.49333951512824
3.000 0.280 63.28898084779989
3.000 0.290 62.09175762910918
3.000 0.300 60.90209089193604
3.000 0.310 59.720432486094964
3.000 0.320 58.547267611714815
3.000 0.330 57.383117558781024
3.000 0.340 56.22854266419684
3.000 0.350 55.08414549641658
3.000 0.360 53.950574275640825
3.000 0.370 52.82852653451783
3.000 0.380 51.718753019996086
3.000 0.390 50.622061831091514
3.000 0.400 49.53932277948007
3.000 0.410 48.47147194954616
3.000 0.420 47.419516421290155
3.000 0.430 46.38453910274805
3.000 0.440 45.367703597689
3.000 0.450 44.37025900872088
3.000 0.460 43.39354454499119
3.000 0.470 42.438993767020506
3.000 0.480 41.50813825871946
3.000 0.490 40.602610468660686
3.000 0.500 39.72414541023342
3.000 0.510 38.87458085541939
3.000 0.520 38.05585560291627
3.000 0.530 37.27000535316088
3.000 0.540 36.519155687335584
3.000 0.550 35.80551163356485
3.000 0.560 35.131343321946176
3.000 0.570 34.49896729271423
3.000 0.580 33.91072314051967
3.000 0.590 33.36894536220423
3.000 0.600 32.8759305303974
3.000 0.610 32.43390023750708
3.000 0.620 32.04496062982916
3.000 0.630 31.711059751923507
3.000 0.640 31.43394430623551
3.000 0.650 31.21511775120962
3.000 0.660 31.05580185840379
3.000 0.670 30.956903877143993
3.000 0.680 30.9189912829925
3.000 0.690 30.94227570934615
3.000 0.700 31.02660710712255
3.000 0.710 31.17147850304095
3.000 0.720 31.376041011013122
3.000 0.730 31.63912807934228
3.000 0.740 31.95928740583989
3.000 0.750 32.33481857857603
3.000 0.760 32.76381432684961
3.000 0.770 33.24420328948691
3.000 0.780 33.773792394884
3.000 0.790 34.350307252542656
3.000 0.800 34.971429326950094
3.000 0.810 35.63482905275822
3.000 0.820 36.33819441614105
3.000 0.830 37.079254844170045
3.000 0.840 37.8558004976814
3.000 0.850 38.665697249577875
3.000 0.860 39.50689775368939
3.000 0.870 40.37744907786469
3.000 0.880 41.27549739976057
3.000 0.890 42.19929025602555
3.000 0.900 43.14717680549114
3.000 0.910 44.11760652322758
3.000 0.920 45.109126691691515
3.000 0.930 46.1203790027076
3.000 0.940 47.15009553313196
3.000 0.950 48.19709430991926
3.000 0.960 49.26027463815062
3.000 0.970 50.33861232886359
3.000 0.980 51.43115493225926
3.000 0.990 52.537017055742865
3.000 1.000 53.655375824803485
4.000 0.000 98.72196074078293
4.000 0.010 97.41367518667417
4.000 0.020 96.1071861304271
4.000 0.030 94.80256784947113
4.000 0.040 93.4998986583839
4.000 0.050 92.19926117839219
4.000 0.060 90.90074262797559
4.000 0.070 89.60443513644202
4.000 0.080 88.31043608252546
4.000 0.090 87.01884846025557
4.000 0.100 85.72978127456878
4.000 0.110 84.44334996937204
4.000 0.120 83.15967689103738
4.000 0.130 81.87889179059769
4.000 0.140 80.6011323682367
4.000 0.150 79.32654486402015
4.000 0.160 78.05528469920216
4.000 0.170 76.7875171728673
4.000 0.180 75.52341821913137
4.000 0.190 74.26317523063223
4.000 0.200 73.00698795459118
4.000 0.210 71.75506946832235
4.000 0.220 70.50764724171064
4.000 0.230 69.26496429486886
4.000 0.240 68.02728045991856
4.000 0.250 66.79487375661647
4.000 0.260 65.56804189235729
4.000 0.270 64.34710389791906
4.000 0.280 63.13240191115908
4.000 0.290 61.92430312169668
4.000 0.300 60.72320189040077
4.000 0.310 59.52952205819474
4.000 0.320 58.343719459238194
4.000 0.330 57.16628465387129
4.000 0.340 55.99774589671276
4.000 0.350 54.83867235485677
4.000 0.360 53.68967759005533
4.000 0.370 52.55142331688819
4.000 0.380 51.42462344595292
4.000 0.390 50.310048416723916
4.000 0.400 49.20852981853196
4.000 0.410 48.12096528962098
4.000 0.420 47.04832367287038
4.000 0.430 45.99165039185762
4.000 0.440 44.95207299172314
4.000 0.450 43.93080676495287
4.000 0.460 42.92916035186437
4.000 0.470 41.94854116845218
4.000 0.480 40.990460469664676
4.000 0.490 40.05653780382197
4.000 0.500 39.148504553990904
4.000 0.510 38.268206195845636
4.000 0.520 37.417602831306844
4.000 0.530 36.598767487275126
4.000 0.540 35.81388160552932
4.000 0.550 35.06522710249193
4.000 0.560 34.35517435809212
